,elder,asiatic,anycondition_number,Obesity_number,COPD_number,diabetes_number,CKD_number
0,2460.0,89.0,10213.0,7930.0,2314.0,2823.0,771.0
1,4801.0,231.0,19282.0,13713.0,4097.0,5416.0,1454.0
2,2713.0,394.0,14283.0,10238.0,2792.0,3698.0,871.0
3,6736.0,1370.0,33057.0,25735.0,5716.0,7913.0,2118.0
4,10074.0,4026.0,49754.0,38882.0,10002.0,12987.0,3490.0
5,54600.0,317204.0,182564.0,128455.0,28886.0,67258.0,17872.0
6,1826.0,136.0,7266.0,5185.0,1669.0,2438.0,608.0
7,232.0,20.0,850.0,640.0,128.0,216.0,64.0
8,49074.0,32220.0,196424.0,148994.0,31984.0,53389.0,13632.0
9,348.0,54.0,1660.0,1227.0,201.0,492.0,129.0
10,21439.0,8150.0,93017.0,71587.0,18791.0,25818.0,7194.0
11,719.0,28.0,3322.0,2523.0,775.0,914.0,217.0
12,176.0,5.0,710.0,539.0,111.0,178.0,48.0
13,15745.0,2044.0,75463.0,54021.0,17475.0,21166.0,5256.0
14,1024.0,42.0,3877.0,3202.0,685.0,1022.0,287.0
15,85.0,5.0,273.0,205.0,52.0,80.0,23.0
16,1455.0,95.0,6984.0,5236.0,1575.0,1963.0,486.0
17,48038.0,19454.0,199236.0,145053.0,31913.0,60774.0,16872.0
18,40954.0,17749.0,139023.0,103855.0,23563.0,33878.0,11726.0
19,2782.0,664.0,14902.0,11243.0,2860.0,4348.0,1092.0
20,1980.0,225.0,9774.0,7158.0,2122.0,3171.0,781.0
21,1033.0,125.0,4991.0,3723.0,880.0,1479.0,366.0
22,308.0,11.0,1265.0,952.0,245.0,405.0,104.0
23,7716.0,1234.0,40375.0,28435.0,8960.0,10298.0,2530.0
24,615.0,26.0,3429.0,2555.0,810.0,959.0,254.0
25,1867.0,211.0,8012.0,6487.0,1220.0,1793.0,538.0
26,10728.0,871.0,47370.0,35068.0,10253.0,12684.0,3571.0
27,12167.0,1230.0,51164.0,38982.0,10575.0,13065.0,3383.0
28,3729.0,175.0,16090.0,11842.0,3341.0,4045.0,1160.0
29,409.0,14.0,1697.0,1281.0,391.0,453.0,122.0
30,90.0,2.0,323.0,239.0,57.0,86.0,23.0
31,7448.0,809.0,37247.0,28992.0,7559.0,10254.0,2575.0
32,54298.0,44707.0,257886.0,205361.0,39053.0,61478.0,17828.0
33,5996.0,685.0,19053.0,13952.0,3806.0,5000.0,1505.0
34,6635.0,764.0,19687.0,15623.0,3671.0,5992.0,1530.0
35,25788.0,9149.0,141823.0,104680.0,22960.0,38634.0,9669.0
36,8405.0,595.0,35206.0,24538.0,6692.0,9719.0,2494.0
37,3076.0,641.0,16500.0,11859.0,3174.0,4152.0,1009.0
38,775.0,40.0,3007.0,2279.0,600.0,1043.0,254.0
39,517.0,38.0,2481.0,2013.0,413.0,643.0,164.0
40,1183.0,50.0,4975.0,3713.0,833.0,1217.0,342.0
41,320.0,4.0,887.0,615.0,163.0,295.0,75.0
42,1204.0,17.0,4253.0,2959.0,1095.0,1309.0,346.0
43,737.0,114.0,3901.0,2604.0,671.0,889.0,242.0
44,31872.0,84087.0,154874.0,127859.0,19505.0,39594.0,11261.0
45,20873.0,6428.0,93304.0,70969.0,16289.0,25111.0,6683.0
46,108068.0,168410.0,725284.0,554966.0,95615.0,204266.0,49429.0
47,153797.0,43551.0,494930.0,352328.0,102154.0,163990.0,43465.0
48,11557.0,2285.0,55000.0,43398.0,8680.0,13020.0,3784.0
49,245.0,4.0,1287.0,1044.0,216.0,317.0,90.0
50,82.0,3.0,395.0,319.0,59.0,98.0,29.0
51,6043.0,200.0,25573.0,19571.0,5030.0,6934.0,1789.0
52,996.0,29.0,5180.0,3911.0,1063.0,1423.0,357.0
53,45236.0,8062.0,133006.0,99150.0,29587.0,40608.0,10946.0
54,1569.0,326.0,4576.0,3655.0,928.0,1360.0,447.0
55,16702.0,21427.0,83104.0,69361.0,16546.0,21235.0,6330.0
56,1803.0,69.0,7388.0,5242.0,1816.0,2157.0,504.0
57,11206.0,5426.0,69475.0,54622.0,11067.0,20949.0,4922.0
58,3455.0,253.0,12877.0,10174.0,2797.0,4348.0,1089.0
59,5705.0,558.0,16558.0,13092.0,3325.0,4671.0,1379.0
60,1406.0,88.0,6590.0,4782.0,1234.0,1722.0,434.0
61,563.0,26.0,1882.0,1280.0,294.0,735.0,190.0
62,24484.0,29494.0,119010.0,90415.0,20253.0,36143.0,10298.0
63,962.0,1602.0,7114.0,5596.0,1058.0,1997.0,472.0
64,2818.0,165.0,14147.0,10417.0,3105.0,3908.0,939.0
65,8744.0,1245.0,38323.0,27650.0,7365.0,10017.0,2780.0
66,19001.0,14226.0,62929.0,46273.0,13091.0,20316.0,6334.0
67,70941.0,78758.0,435453.0,346062.0,72406.0,117345.0,31062.0
68,6334.0,834.0,27512.0,22099.0,4336.0,6169.0,1886.0
69,4118.0,428.0,14847.0,10038.0,2553.0,3561.0,1225.0
70,14216.0,2318.0,54548.0,41887.0,10680.0,14667.0,3772.0
71,1107.0,24.0,4017.0,2986.0,849.0,1302.0,322.0
72,1991.0,72.0,8901.0,6413.0,1871.0,2779.0,683.0
73,309.0,30.0,1342.0,932.0,285.0,355.0,95.0
74,68390.0,34265.0,302227.0,225957.0,56970.0,83461.0,22451.0
75,5458.0,939.0,22389.0,14868.0,4376.0,6031.0,1564.0
76,9712.0,4751.0,54357.0,44442.0,7047.0,12592.0,3587.0
77,6720.0,2498.0,43454.0,35277.0,7912.0,11144.0,2496.0
78,7925.0,1968.0,30823.0,26499.0,5424.0,7847.0,2399.0
79,8623.0,737.0,31148.0,20836.0,6132.0,8681.0,2306.0
80,2413.0,160.0,14068.0,10272.0,2838.0,4882.0,1161.0
81,788.0,140.0,5867.0,4534.0,806.0,1498.0,356.0
82,950.0,65.0,4521.0,3325.0,920.0,1231.0,320.0
83,8979.0,1102.0,48041.0,36639.0,9158.0,13182.0,3204.0
84,1273.0,402.0,6011.0,5057.0,1030.0,1529.0,430.0
85,3242.0,465.0,12304.0,9864.0,2036.0,3369.0,1029.0
86,2185.0,103.0,11512.0,9333.0,2109.0,3062.0,765.0
87,11602.0,15020.0,101186.0,84877.0,15181.0,32077.0,7077.0
88,1587.0,92.0,7134.0,5292.0,2010.0,2318.0,548.0
